WindDirection,WindSpeed,AirDensity,WindShear,B1Er1,B1Er2,B1Er3,B1Er4,B1Er5,B1Er6,B2Er1,B2Er2,B2Er3,B2Er4,B2Er5,B2Er6,B3Er1,B3Er2,B3Er3,B3Er4,B3Er5,B3Er6,Alpha,Shape
0.0899999999999999,23.702,1.14576,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-12.45,23.438,1.3608,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-5.07,13.714,1.24496,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-6.33,11.69,1.16944,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12.51,4.21,1.19952,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-8.13,23.218,1.25136,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-1.65,3.374,1.2328,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-2.73,6.674,1.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.21,10.59,1.29936,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-14.73,3.198,1.10416,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.19,6.586,1.13232,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.930000000000001,18.862,1.24816,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-13.71,14.682,1.33904,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-2.25,9.93,1.35056,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-2.01,8.126,1.30192,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.57,14.726,1.21744,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.05,6.014,1.38128,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.75,11.074,1.17712,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5.79,8.654,1.10352,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14.13,22.558,1.34032,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.41,17.938,1.32688,0.2,0.0199518411894343,0.0500768461770685,0.0921539168909462,0.141421086753398,0.14464216308544,0.17753895194472,0.0199518411894343,0.0500768461770685,0.0921539168909462,0.141421086753398,0.14464216308544,0.17753895194472,0.0199518411894343,0.0500768461770685,0.0921539168909462,0.141421086753398,0.14464216308544,0.17753895194472,0.25,1
-2.67,10.766,1.39344,0.2,0.0191464296798916,0.0502645628530319,0.104473304628612,0.121940785754424,0.184906900452331,0.208641892922788,0.0191464296798916,0.0502645628530319,0.104473304628612,0.121940785754424,0.184906900452331,0.208641892922788,0.0191464296798916,0.0502645628530319,0.104473304628612,0.121940785754424,0.184906900452331,0.208641892922788,0.25,1
-12.69,17.102,1.32816,0.2,0.0196530595004104,0.0426620374765169,0.0853782536352302,0.106056848016799,0.1392564338835,0.231483115203557,0.0196530595004104,0.0426620374765169,0.0853782536352302,0.106056848016799,0.1392564338835,0.231483115203557,0.0196530595004104,0.0426620374765169,0.0853782536352302,0.106056848016799,0.1392564338835,0.231483115203557,0.25,1
