WindDirection,WindSpeed,AirDensity,WindShear,B1Er1,B1Er2,B1Er3,B1Er4,B1Er5,B1Er6,B2Er1,B2Er2,B2Er3,B2Er4,B2Er5,B2Er6,B3Er1,B3Er2,B3Er3,B3Er4,B3Er5,B3Er6,Alpha,Style
-14.919,20.8838,1.101696,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.511,14.275,1.248448,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-10.605,12.1674,1.158336,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-5.739,14.6226,1.1072,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-12.003,3.4466,1.181824,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14.493,11.525,1.194816,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.385,14.693,1.135872,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.419,19.181,1.285312,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12.819,14.1958,1.32992,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-3.363,10.2974,1.10784,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-13.833,7.2086,1.122176,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.069,18.3846,1.350912,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-7.467,7.037,1.176128,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.393,19.2646,1.340608,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-13.779,15.859,1.138304,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-6.861,9.6462,1.254592,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12.123,20.4702,1.128256,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.521,9.171,1.288896,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-7.143,13.0474,1.117312,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.281,11.613,1.39488,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13.563,10.5658,1.295168,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-13.659,16.277,1.263232,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-1.311,5.1186,1.2224,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.635,11.6878,1.298688,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-11.073,22.2082,1.14176,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.887,7.8026,1.402752,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14.811,7.8862,1.405312,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.035,9.6242,1.108416,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11.265,20.1754,1.4112,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-11.307,20.5186,1.104064,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-2.001,11.7054,1.25824,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
